timestamp,energy_kwh,department,equipment
2024-01-15 06:00:00,245.5,Manufacturing,CNC Machine
2024-01-15 06:30:00,189.2,Manufacturing,Conveyor Belt
2024-01-15 07:00:00,312.8,Manufacturing,Industrial Furnace
2024-01-15 07:30:00,156.4,Office,HVAC System
2024-01-15 08:00:00,423.7,Manufacturing,Heavy Press
2024-01-15 08:30:00,198.3,Manufacturing,Welding Station
2024-01-15 09:00:00,267.9,Quality Control,Testing Equipment
2024-01-15 09:30:00,145.6,Office,Lighting
2024-01-15 10:00:00,389.4,Manufacturing,Assembly Line
2024-01-15 10:30:00,234.7,Manufacturing,Packaging Unit
2024-01-15 11:00:00,456.8,Manufacturing,Industrial Furnace
2024-01-15 11:30:00,178.9,Warehouse,Cooling System
2024-01-15 12:00:00,298.5,Manufacturing,CNC Machine
2024-01-15 12:30:00,167.3,Office,Computer Systems
2024-01-15 13:00:00,345.6,Manufacturing,Heavy Press
2024-01-15 13:30:00,223.4,Manufacturing,Conveyor Belt
2024-01-15 14:00:00,512.7,Manufacturing,Industrial Furnace
2024-01-15 14:30:00,189.8,Quality Control,Testing Equipment
2024-01-15 15:00:00,367.2,Manufacturing,Assembly Line
2024-01-15 15:30:00,245.9,Manufacturing,Welding Station
2024-01-15 16:00:00,434.5,Manufacturing,Heavy Press
2024-01-15 16:30:00,198.7,Warehouse,Material Handling
2024-01-15 17:00:00,289.3,Manufacturing,Packaging Unit
2024-01-15 17:30:00,156.8,Office,HVAC System
2024-01-15 18:00:00,378.9,Manufacturing,CNC Machine
2024-01-15 18:30:00,234.5,Manufacturing,Conveyor Belt
2024-01-15 19:00:00,145.2,Office,Lighting
2024-01-15 19:30:00,267.8,Manufacturing,Assembly Line
2024-01-15 20:00:00,189.4,Quality Control,Testing Equipment
2024-01-15 20:30:00,123.6,Office,Security Systems